user,number_of_rounds,average_click_duration,std_click_duration,response time,rate_of_true,true_answer_average_duration,true_answer_average_RT,false_answer_average_duration,false_answer_average_RT,0_rounds_since_mistake_average_response_time,0_rounds_since_mistake_average_duration,0_rounds_since_mistake_average_is_correct,1_rounds_since_mistake_average_response_time,1_rounds_since_mistake_GAP_RT,1_rounds_since_mistake_average_duration,1_rounds_since_mistake_average_is_correct,2_rounds_since_mistake_average_response_time,2_rounds_since_mistake_GAP_RT,2_rounds_since_mistake_average_duration,2_rounds_since_mistake_average_is_correct,3_rounds_since_mistake_average_response_time,3_rounds_since_mistake_GAP_RT,3_rounds_since_mistake_average_duration,3_rounds_since_mistake_average_is_correct,4_rounds_since_mistake_average_response_time,4_rounds_since_mistake_GAP_RT,4_rounds_since_mistake_average_duration,4_rounds_since_mistake_average_is_correct,5_rounds_since_mistake_average_response_time,5_rounds_since_mistake_GAP_RT,5_rounds_since_mistake_average_duration,5_rounds_since_mistake_average_is_correct,6_rounds_since_mistake_average_response_time,6_rounds_since_mistake_GAP_RT,6_rounds_since_mistake_average_duration,6_rounds_since_mistake_average_is_correct,7_rounds_since_mistake_average_response_time,7_rounds_since_mistake_GAP_RT,7_rounds_since_mistake_average_duration,7_rounds_since_mistake_average_is_correct,8_rounds_since_mistake_average_response_time,8_rounds_since_mistake_GAP_RT,8_rounds_since_mistake_average_duration,8_rounds_since_mistake_average_is_correct,9_rounds_since_mistake_average_response_time,9_rounds_since_mistake_GAP_RT,9_rounds_since_mistake_average_duration,9_rounds_since_mistake_average_is_correct,1_rounds_since_correct_average_response_time,1_rounds_since_correct_average_duration,1_rounds_since_correct_average_is_correct,is_mobile,gender,age,has_disorder,education
132,119,45.63865546218487,12.915455917881042,570.1932773109244,0.9915966386554622,45.67796610169491,569.6016949152543,41.0,640.0,640.0,41.0,False,640.0,0.0,38.0,1.0,579.0,-61.0,53.0,1.0,558.0,-21.0,39.0,1.0,610.0,52.0,41.0,1.0,607.0,-3.0,55.0,1.0,529.0,-78.0,59.0,1.0,539.0,10.0,43.0,1.0,656.0,117.0,28.0,1.0,631.0,-25.0,41.0,1.0,570.3247863247864,45.78632478632478,0.9914529914529915,True,male,23,TRUE,HighSchool
48,119,50.18487394957983,22.23753369546312,674.7983193277311,0.9663865546218487,50.28695652173913,684.6695652173913,47.25,391.0,78.0,49.0,False,770.25,692.25,52.0,1.0,699.5,-70.75,41.0,1.0,527.5,-172.0,58.25,1.0,784.75,257.25,54.5,1.0,575.5,-209.25,50.25,1.0,791.75,216.25,53.5,1.0,516.25,-275.5,67.75,1.0,730.25,214.0,54.75,1.0,655.75,-74.5,58.25,1.0,676.6842105263158,50.13157894736842,0.9736842105263158,True,female,39,FALSE,BA
112,67,56.149253731343286,9.55090624185504,582.3134328358209,0.9850746268656716,56.40909090909091,582.1515151515151,39.0,593.0,593.0,39.0,False,,,,,600.0,,57.0,1.0,,,,,,,,,,,,,723.0,,48.0,1.0,,,,,679.0,,74.0,1.0,661.0,-18.0,52.0,1.0,582.3134328358209,56.149253731343286,0.9850746268656716,True,male,62,FALSE,MA
140,119,56.294117647058826,15.223394653154829,463.03361344537814,0.9915966386554622,56.00847457627118,464.7881355932203,90.0,256.0,256.0,90.0,False,51.0,-205.0,85.0,1.0,156.0,105.0,83.0,1.0,683.0,527.0,62.0,1.0,3.0,-680.0,66.0,1.0,574.0,571.0,58.0,1.0,476.0,-98.0,97.0,1.0,451.0,-25.0,81.0,1.0,398.0,-53.0,69.0,1.0,439.0,41.0,62.0,1.0,468.3247863247863,55.76068376068376,1.0,True,male,33,FALSE,BA
59,79,60.734177215189874,13.750253014697297,619.7848101265823,0.9746835443037974,60.506493506493506,624.038961038961,69.5,456.0,,,,764.5,,57.5,1.0,500.3333333333333,-264.1666666666667,55.333333333333336,1.0,824.0,323.6666666666667,63.0,1.0,572.0,-252.0,59.5,0.5,635.5,63.5,62.0,1.0,637.5,2.0,67.5,1.0,618.0,-19.5,75.0,1.0,609.0,-9.0,74.0,1.0,739.0,130.0,49.0,1.0,616.025974025974,60.81818181818182,0.974025974025974,True,female,38,FALSE,BA
131,119,61.714285714285715,14.560302926364754,546.1848739495798,0.9831932773109243,61.64102564102564,543.2649572649573,66.0,717.0,565.0,70.0,False,275.5,-289.5,76.5,1.0,539.5,264.0,63.5,1.0,608.0,68.5,47.0,1.0,493.5,-114.5,60.5,1.0,525.5,32.0,71.0,1.0,622.0,96.5,65.5,1.0,506.5,-115.5,61.0,1.0,564.0,57.5,68.5,1.0,491.0,-73.0,66.0,1.0,549.6724137931035,61.56896551724138,0.9827586206896551,True,male,23,TRUE,HighSchool
128,119,67.74789915966386,16.09201217121583,510.29411764705884,0.9495798319327731,68.02654867256638,514.4513274336283,62.5,432.0,741.0,68.0,False,508.5,-232.5,65.0,0.8333333333333334,514.0,5.5,56.5,1.0,516.5,2.5,78.25,1.0,466.75,-49.75,64.0,1.0,495.5,28.75,85.25,1.0,579.25,83.75,70.25,1.0,507.5,-71.75,81.0,1.0,603.0,95.5,69.75,1.0,543.0,-60.0,55.75,1.0,508.33035714285717,67.89285714285714,0.9642857142857143,True,female,28,TRUE,HighSchool
133,119,71.47899159663865,22.0087997576223,583.5126050420168,0.9663865546218487,71.34782608695652,593.1391304347826,75.25,306.75,74.0,90.0,False,464.5,390.5,63.75,0.75,370.3333333333333,-94.16666666666669,62.0,1.0,721.6666666666666,351.3333333333333,55.666666666666664,1.0,591.3333333333334,-130.33333333333326,67.66666666666667,1.0,536.6666666666666,-54.66666666666674,74.0,1.0,582.3333333333334,45.66666666666674,80.33333333333333,1.0,751.3333333333334,169.0,70.0,1.0,642.3333333333334,-109.0,74.66666666666667,1.0,555.6666666666666,-86.66666666666674,97.0,1.0,592.1578947368421,71.58771929824562,0.9824561403508771,True,female,22,TRUE,HighSchool
72,110,71.6,14.225703574932062,619.0636363636364,0.9818181818181818,71.4074074074074,621.3981481481482,82.0,493.0,625.0,87.0,False,462.5,-162.5,89.0,1.0,684.5,222.0,67.0,1.0,627.5,-57.0,78.5,1.0,,,,,625.5,,68.0,1.0,581.0,-44.5,68.5,1.0,695.5,114.5,85.0,1.0,627.0,-68.5,56.5,1.0,680.0,53.0,69.0,1.0,622.1869158878504,71.17757009345794,0.9813084112149533,True,female,48,FALSE,BA
127,111,72.2072072072072,14.070030766340409,710.027027027027,0.963963963963964,72.80373831775701,721.7289719626168,56.25,397.0,551.0,67.0,False,503.25,-47.75,61.75,0.75,856.0,352.75,69.33333333333333,1.0,793.3333333333334,-62.66666666666663,82.66666666666667,1.0,803.0,9.666666666666629,83.5,1.0,507.3333333333333,-295.6666666666667,82.0,1.0,783.0,275.6666666666667,77.33333333333333,1.0,787.0,4.0,61.333333333333336,1.0,779.3333333333334,-7.666666666666629,85.0,1.0,833.6666666666666,54.33333333333326,59.0,1.0,719.3301886792453,72.65094339622641,0.9811320754716981,True,female,57,FALSE,BA
